GEOID,NAME,GEOID10,2018,2017,2016,2015,2014,2013
1500000US210670020012,"Block Group 2, Census Tract 20.01",210670020012,43.16,3.29,6.48,3.38,5.17,13.02
1500000US210670020013,"Block Group 3, Census Tract 20.01",210670020013,26.9,0,0,0,0,1.36
1500000US210670020021,"Block Group 1, Census Tract 20.02",210670020021,49.16,0,0,0,3.92,0.68
1500000US210670020022,"Block Group 2, Census Tract 20.02",210670020022,24.25,12.08,0,0,3.2,0
1500000US210670023023,"Block Group 3, Census Tract 23.02",210670023023,1.29,2.63,1.41,1.06,0,2.06
1500000US210670023031,"Block Group 1, Census Tract 23.03",210670023031,0,2.95,4.42,5.06,1.18,2.89
1500000US210670023032,"Block Group 2, Census Tract 23.03",210670023032,19.74,4.15,3.91,3.95,2.16,0.37
1500000US210670023033,"Block Group 3, Census Tract 23.03",210670023033,0,0,0,0,0,1.89
1500000US210670023034,"Block Group 4, Census Tract 23.03",210670023034,10.56,2.55,0.77,1.96,2.55,1.72
1500000US210670029003,"Block Group 3, Census Tract 29",210670029003,14.52,1.66,0,0,0,3.24
1500000US210670023041,"Block Group 1, Census Tract 23.04",210670023041,1.45,2.6,2.48,3.27,0.94,0
1500000US210670023042,"Block Group 2, Census Tract 23.04",210670023042,2.5,0,0,0,0,1.19
1500000US210670028002,"Block Group 2, Census Tract 28",210670028002,0,0,0,0,0,5.14
1500000US210670032012,"Block Group 2, Census Tract 32.01",210670032012,16.39,1.65,1.87,2.23,1.38,1.02
1500000US210670032021,"Block Group 1, Census Tract 32.02",210670032021,2.01,0,0,0,0,2.29
1500000US210670032023,"Block Group 3, Census Tract 32.02",210670032023,4.77,2.74,2.01,0,0,0
1500000US210670032024,"Block Group 4, Census Tract 32.02",210670032024,4.64,47.02,33.43,29.4,25.45,3.81
1500000US210670034023,"Block Group 3, Census Tract 34.02",210670034023,5.21,6.78,5.58,5.43,16.36,2.42
1500000US210670034062,"Block Group 2, Census Tract 34.06",210670034062,17.44,4.87,3.24,2.44,0,0
1500000US210670034072,"Block Group 2, Census Tract 34.07",210670034072,1.65,10.65,9.69,6.35,3.2,7.97
1500000US210670035012,"Block Group 2, Census Tract 35.01",210670035012,5.92,1.18,0,0,0,0.47
1500000US210670035032,"Block Group 2, Census Tract 35.03",210670035032,5.45,9.18,8.23,3.67,4.07,0
1500000US210670035041,"Block Group 1, Census Tract 35.04",210670035041,2.57,0.8,15.32,14.72,17.49,4.97
1500000US210670037011,"Block Group 1, Census Tract 37.01",210670037011,5.11,1.2,2.03,0.61,0.85,11.88
1500000US210670037012,"Block Group 2, Census Tract 37.01",210670037012,20.57,7.46,0.3,0.34,0,0
1500000US210670037022,"Block Group 2, Census Tract 37.02",210670037022,7.62,11.45,11.85,9.94,7.07,6.51
1500000US210670037031,"Block Group 1, Census Tract 37.03",210670037031,5.45,17.22,16.86,30.52,31.74,14.72
1500000US210670037032,"Block Group 2, Census Tract 37.03",210670037032,4.46,1.22,0.69,0.97,0.73,0
1500000US210670008011,"Block Group 1, Census Tract 8.01",210670008011,3.8,0,0,0,2.24,0
1500000US210670023022,"Block Group 2, Census Tract 23.02",210670023022,0,0,0,0,0,0
1500000US210670029001,"Block Group 1, Census Tract 29",210670029001,2.42,23.26,38.41,39.21,48.12,0
1500000US210670029002,"Block Group 2, Census Tract 29",210670029002,6.62,6.45,7.36,8.57,6.11,1.91
1500000US210670034022,"Block Group 2, Census Tract 34.02",210670034022,5.3,5.38,0,1.34,1.03,0.07
1500000US210670034043,"Block Group 3, Census Tract 34.04",210670034043,6.39,0,0,0,0,0
1500000US210670034041,"Block Group 1, Census Tract 34.04",210670034041,13.01,0,1.19,2.11,4,0
1500000US210670005002,"Block Group 2, Census Tract 5",210670005002,0.88,0,0,0,0,12.69
1500000US210670005004,"Block Group 4, Census Tract 5",210670005004,0,15.99,19.27,17.62,19.36,0.94
1500000US210670004002,"Block Group 2, Census Tract 4",210670004002,1.78,2.14,0,2.69,2.73,1.44
1500000US210670040011,"Block Group 1, Census Tract 40.01",210670040011,3.81,0,0,0,0,0.96
1500000US210670015002,"Block Group 2, Census Tract 15",210670015002,15.46,7.05,5.31,4.98,16.3,0
1500000US210670015001,"Block Group 1, Census Tract 15",210670015001,14.6,4.26,6.7,2.52,3.18,1.04
1500000US210670038023,"Block Group 3, Census Tract 38.02",210670038023,15.23,0.42,0,0,7.44,1.53
1500000US210670031011,"Block Group 1, Census Tract 31.01",210670031011,9.14,0.78,0.55,2.78,2.76,0.81
1500000US210670031012,"Block Group 2, Census Tract 31.01",210670031012,7.49,1.09,2.37,2.83,3.26,11.76
1500000US210670003003,"Block Group 3, Census Tract 3",210670003003,5.08,9.57,9.3,4.47,4.48,1.19
1500000US210670003004,"Block Group 4, Census Tract 3",210670003004,9.84,0.83,0,0,0,42.32
1500000US210670001011,"Block Group 1, Census Tract 1.01",210670001011,4.43,14.14,17.42,10.78,2.94,22.93
1500000US210670001012,"Block Group 2, Census Tract 1.01",210670001012,2.19,0.96,0.57,0.56,2.37,36.11
1500000US210670001021,"Block Group 1, Census Tract 1.02",210670001021,0,5.47,6.46,6.28,0,1.67
1500000US210670001022,"Block Group 2, Census Tract 1.02",210670001022,2.92,1.99,2.43,3.59,17.75,13.01
1500000US210670011004,"Block Group 4, Census Tract 11",210670011004,32.99,2.32,3.78,3.81,1.76,22.52
1500000US210670019002,"Block Group 2, Census Tract 19",210670019002,1.38,0,0,0,0,23.25
1500000US210670003002,"Block Group 2, Census Tract 3",210670003002,8.24,1.13,2.99,2.34,2.2,9.87
1500000US210670040013,"Block Group 3, Census Tract 40.01",210670040013,0.99,11.04,11.33,6.85,4.29,3.55
1500000US210670040032,"Block Group 2, Census Tract 40.03",210670040032,13.04,2.05,2.4,3.14,3.42,13.71
1500000US210670040051,"Block Group 1, Census Tract 40.05",210670040051,2.14,3.32,3.52,3.42,2.22,13.33
1500000US210670040061,"Block Group 1, Census Tract 40.06",210670040061,1.2,4.19,5.16,5.35,4.09,9.94
1500000US210670040072,"Block Group 2, Census Tract 40.07",210670040072,2.45,0.91,8.73,7.15,7.79,0
1500000US210670041031,"Block Group 1, Census Tract 41.03",210670041031,3.29,4.51,4.19,6.85,8.54,0
1500000US210670041041,"Block Group 1, Census Tract 41.04",210670041041,9.63,0.43,0.3,0.36,4.87,0
1500000US210670041042,"Block Group 2, Census Tract 41.04",210670041042,11.64,11.91,15.28,15.99,26.53,0
1500000US210670041051,"Block Group 1, Census Tract 41.05",210670041051,0,2.44,2.16,0,1.52,1.62
1500000US210670041052,"Block Group 2, Census Tract 41.05",210670041052,3.31,5.36,3.4,6.45,6.13,6.35
1500000US210670041061,"Block Group 1, Census Tract 41.06",210670041061,0.72,1.23,1.01,1.45,5.03,10.87
1500000US210670041062,"Block Group 2, Census Tract 41.06",210670041062,8.6,1.84,2.11,1.63,2.24,64.78
1500000US210670041072,"Block Group 2, Census Tract 41.07",210670041072,3.23,3.39,1.1,1.19,1.36,19.26
1500000US210670041073,"Block Group 3, Census Tract 41.07",210670041073,9.29,14.1,16.92,18.04,17.75,49.38
1500000US210670042053,"Block Group 3, Census Tract 42.05",210670042053,0,15.76,12.35,10.92,8.48,54.98
1500000US210670018001,"Block Group 1, Census Tract 18",210670018001,3.66,15.4,13.09,11.37,4.78,28.95
1500000US210670026003,"Block Group 3, Census Tract 26",210670026003,3.05,7.85,8.47,8.89,12.4,2.02
1500000US210670026005,"Block Group 5, Census Tract 26",210670026005,14.9,5.16,2.5,2.54,3.01,11.81
1500000US210670026001,"Block Group 1, Census Tract 26",210670026001,3.17,4.78,5.21,10.93,12.27,0.68
1500000US210670026002,"Block Group 2, Census Tract 26",210670026002,0,5.04,2.61,2.89,2.77,0
1500000US210670030005,"Block Group 5, Census Tract 30",210670030005,6.26,5.85,4.82,7.94,6.55,0
1500000US210670030001,"Block Group 1, Census Tract 30",210670030001,14.15,6.3,5.84,0,0,4.04
1500000US210670030002,"Block Group 2, Census Tract 30",210670030002,1.45,20.18,16.85,15.84,17.84,0
1500000US210670042051,"Block Group 1, Census Tract 42.05",210670042051,0,36.62,36.14,19.15,1.74,13.69
1500000US210670030004,"Block Group 4, Census Tract 30",210670030004,0,21.01,10.59,17.9,26.73,0
1500000US210670034061,"Block Group 1, Census Tract 34.06",210670034061,0.92,14.25,8.58,4.69,2.24,0.95
1500000US210670039061,"Block Group 1, Census Tract 39.06",210670039061,8.33,10.07,7.27,4.86,10.67,1.03
1500000US210670042052,"Block Group 2, Census Tract 42.05",210670042052,5.93,0,0,0,0,2.64
1500000US210670011002,"Block Group 2, Census Tract 11",210670011002,7.69,39.32,35.31,37.81,29.25,0
1500000US210670011003,"Block Group 3, Census Tract 11",210670011003,53.4,38.04,40.9,34.49,49.04,10.83
1500000US210670011001,"Block Group 1, Census Tract 11",210670011001,47.09,5.94,18.98,27.28,26.59,0
1500000US210670042071,"Block Group 1, Census Tract 42.07",210670042071,5.47,6.63,6.12,3.95,4.05,0
1500000US210670042072,"Block Group 2, Census Tract 42.07",210670042072,2.92,7.38,3.55,3.37,5.57,0
1500000US210670042082,"Block Group 2, Census Tract 42.08",210670042082,2.82,5.43,5,4.48,0.52,0
1500000US210670042091,"Block Group 1, Census Tract 42.09",210670042091,2.87,8.57,3.65,4.95,2.55,2.98
1500000US210670042101,"Block Group 1, Census Tract 42.10",210670042101,4.44,1.1,0.94,1.52,0,0
1500000US210670042102,"Block Group 2, Census Tract 42.10",210670042102,1.62,7.13,7.96,12.27,5.71,0
1500000US210670037043,"Block Group 3, Census Tract 37.04",210670037043,6.98,1.56,1.44,1.09,1.17,26.41
1500000US210670038033,"Block Group 3, Census Tract 38.03",210670038033,0,17.05,27.11,34.58,15.1,47.5
1500000US210670038043,"Block Group 3, Census Tract 38.04",210670038043,10.21,4.47,4.4,9.87,34.3,0
1500000US210670039082,"Block Group 2, Census Tract 39.08",210670039082,3.78,5.87,6.72,7.81,17.95,10.28
1500000US210670039092,"Block Group 2, Census Tract 39.09",210670039092,0,2.64,15.61,21.78,6.73,10.19
1500000US210670039112,"Block Group 2, Census Tract 39.11",210670039112,9.39,2.03,2.45,1.8,1.7,3.7
1500000US210670039122,"Block Group 2, Census Tract 39.12",210670039122,1.3,0,0.89,0.83,1.23,14.57
1500000US210670039133,"Block Group 3, Census Tract 39.13",210670039133,3.58,1.21,0.97,1.02,1.14,0.53
1500000US210670024004,"Block Group 4, Census Tract 24",210670024004,1.57,0,0,0,0,0
1500000US210670036001,"Block Group 1, Census Tract 36",210670036001,0,3.91,4.42,4.17,9.25,0.48
1500000US210670024002,"Block Group 2, Census Tract 24",210670024002,1.75,4.15,4.09,3.95,9.14,19.42
1500000US210670025002,"Block Group 2, Census Tract 25",210670025002,0,0,0,0,0,0
1500000US210670034051,"Block Group 1, Census Tract 34.05",210670034051,0,0.52,0.46,0,0,1.71
1500000US210670031021,"Block Group 1, Census Tract 31.02",210670031021,0,4.87,0.44,0.48,0.69,0
1500000US210670009002,"Block Group 2, Census Tract 9",210670009002,2.81,0,0,0,0,42.59
1500000US210670013002,"Block Group 2, Census Tract 13",210670013002,44.7,0,0,0,0,7.72
1500000US210670002001,"Block Group 1, Census Tract 2",210670002001,1.08,16.75,17.63,12.08,4.02,0.78
1500000US210670034071,"Block Group 1, Census Tract 34.07",210670034071,3.41,12.5,0,0,0,0
1500000US210670008022,"Block Group 2, Census Tract 8.02",210670008022,2.12,0,0,0,0,4.82
1500000US210670016001,"Block Group 1, Census Tract 16",210670016001,3.17,6.12,5.91,2.36,3.04,0
1500000US210670025003,"Block Group 3, Census Tract 25",210670025003,0,5.03,3.9,0,0,0
1500000US210670032011,"Block Group 1, Census Tract 32.01",210670032011,2.23,4.52,2.63,3.44,5.75,2.22
1500000US210670032022,"Block Group 2, Census Tract 32.02",210670032022,0,16.71,13.15,13.79,0,0
1500000US210670033002,"Block Group 2, Census Tract 33",210670033002,0.97,1.99,1.53,1.53,5.08,13.89
1500000US210670034063,"Block Group 3, Census Tract 34.06",210670034063,5.93,0,0,3.18,2.27,4.32
1500000US210670035031,"Block Group 1, Census Tract 35.03",210670035031,2.05,2.84,2.24,0,0,5.7
1500000US210670035042,"Block Group 2, Census Tract 35.04",210670035042,3.07,8.09,3.52,0.7,0.68,4.12
1500000US210670037021,"Block Group 1, Census Tract 37.02",210670037021,13.73,1.81,1.52,1.62,2.35,4.54
1500000US210670007001,"Block Group 1, Census Tract 7",210670007001,4.79,1.32,0,0,0,4.73
1500000US210670014002,"Block Group 2, Census Tract 14",210670014002,5.65,0.7,0.85,0.69,0,4.37
1500000US210670017002,"Block Group 2, Census Tract 17",210670017002,0,0.44,3.35,2.8,2.44,3.01
1500000US210670028001,"Block Group 1, Census Tract 28",210670028001,7.57,3.24,3.45,3.32,18.57,3.24
1500000US210670006001,"Block Group 1, Census Tract 6",210670006001,1.19,0.92,0.91,2.58,2.07,1.35
1500000US210670027001,"Block Group 1, Census Tract 27",210670027001,4.95,8.6,3.98,0.48,0,13.34
1500000US210670027003,"Block Group 3, Census Tract 27",210670027003,1.58,10.62,9.27,9.38,4.53,1.78
1500000US210670018002,"Block Group 2, Census Tract 18",210670018002,1.6,0,0,0,0,0
1500000US210670026004,"Block Group 4, Census Tract 26",210670026004,20.51,0,0,1.08,1.85,2.14
1500000US210670030003,"Block Group 3, Census Tract 30",210670030003,0,4.17,3.26,3.29,3.59,10.22
1500000US210670042081,"Block Group 1, Census Tract 42.08",210670042081,4.97,24.11,21.11,26.67,16.61,3.62
1500000US210670042092,"Block Group 2, Census Tract 42.09",210670042092,4.26,0.71,1.5,1.16,0.81,2.58
1500000US210670023021,"Block Group 1, Census Tract 23.02",210670023021,5.47,4.51,0,0,0,4.68
1500000US210670034021,"Block Group 1, Census Tract 34.02",210670034021,0.86,4.65,4,3.96,3.67,11.44
1500000US210670034042,"Block Group 2, Census Tract 34.04",210670034042,4.92,0,0,0,0,3.92
1500000US210670005001,"Block Group 1, Census Tract 5",210670005001,3.73,7.88,5.19,4.9,4.62,5.87
1500000US210670004001,"Block Group 1, Census Tract 4",210670004001,15.2,1.49,0,1.72,6.95,17.24
1500000US210670040012,"Block Group 2, Census Tract 40.01",210670040012,16.3,0,0,0,1.16,0.86
1500000US210670038022,"Block Group 2, Census Tract 38.02",210670038022,29.61,0.57,0,0,0.76,6.61
1500000US210670038021,"Block Group 1, Census Tract 38.02",210670038021,4.06,0,0,0,0,4.51
1500000US210670003001,"Block Group 1, Census Tract 3",210670003001,30.75,5.05,4.89,5.93,5.2,2.88
1500000US210670020011,"Block Group 1, Census Tract 20.01",210670020011,63.58,0,3.09,3.08,4.23,0.89
1500000US210670039182,"Block Group 2, Census Tract 39.18",210670039182,7.03,3.42,3.28,0.36,0.48,16.77
1500000US210670040033,"Block Group 3, Census Tract 40.03",210670040033,6.15,2.92,1.53,2.27,2.36,8.67
1500000US210670040071,"Block Group 1, Census Tract 40.07",210670040071,0.69,4.65,4.35,1.04,1.01,15.44
1500000US210670041032,"Block Group 2, Census Tract 41.03",210670041032,6.78,3.63,2.67,2.47,1.95,9.61
1500000US210670041043,"Block Group 3, Census Tract 41.04",210670041043,0,2.73,2.71,2.18,2.85,4.75
1500000US210670041053,"Block Group 3, Census Tract 41.05",210670041053,21.66,3.75,3.33,2.13,2.27,13.15
1500000US210670041071,"Block Group 1, Census Tract 41.07",210670041071,3.77,2.31,6.31,7.12,6.31,3.2
1500000US210670042043,"Block Group 3, Census Tract 42.04",210670042043,0.66,1.86,1.83,0.97,1.26,6.25
